date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:58	148030/148030	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:31%20GMT	https://twitter-trends.iamrohit.in/united-states	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/united-states.html	(from https://twitter-trends.iamrohit.in/)
14:40:58	149507/149507	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:31%20GMT	https://twitter-trends.iamrohit.in/venezuela	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/venezuela.html	(from https://twitter-trends.iamrohit.in/)
14:40:59	144416/144416	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:32%20GMT	https://twitter-trends.iamrohit.in/vietnam	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/vietnam.html	(from https://twitter-trends.iamrohit.in/)
14:40:59	10665/10665	---M-Z	200	added ('OK')	application/javascript	etag:%2229a9-5a616af27e360-gzip%22	https://twitter-trends.iamrohit.in/clipboard.min.js	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/clipboard.min.js	(from https://twitter-trends.iamrohit.in/)
14:41:00	3030/3030	---MCZ	200	added ('OK')	application/javascript	etag:W/%221c210a2-1622-54b4c77428880-gzip%22	https://lab.iamrohit.in/demo/tb2excel/jquery.table2excel.js	C:/My%20Web%20Sites/TWITTER/lab.iamrohit.in/demo/tb2excel/jquery.table2excel.js	(from https://twitter-trends.iamrohit.in/)
14:41:01	149877/149877	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:34%20GMT	https://twitter-trends.iamrohit.in/algeria/algiers	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/algeria/algiers.html	(from https://twitter-trends.iamrohit.in/)
14:41:01	147953/147953	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:34%20GMT	https://twitter-trends.iamrohit.in/argentina/mendoza	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/argentina/mendoza.html	(from https://twitter-trends.iamrohit.in/)
14:41:02	148042/148042	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:35%20GMT	https://twitter-trends.iamrohit.in/argentina/c%c3%83%c2%b3rdoba	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/argentina/c%c3%83%c2%b3rdoba.html	(from https://twitter-trends.iamrohit.in/)
14:41:02	148387/148387	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:36%20GMT	https://twitter-trends.iamrohit.in/argentina/rosario	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/argentina/rosario.html	(from https://twitter-trends.iamrohit.in/)
14:41:03	148472/148472	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:36%20GMT	https://twitter-trends.iamrohit.in/argentina/buenos-aires	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/argentina/buenos-aires.html	(from https://twitter-trends.iamrohit.in/)
14:41:04	148120/148120	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:37%20GMT	https://twitter-trends.iamrohit.in/australia/perth	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/perth.html	(from https://twitter-trends.iamrohit.in/)
14:41:04	148172/148172	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:38%20GMT	https://twitter-trends.iamrohit.in/australia/adelaide	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/adelaide.html	(from https://twitter-trends.iamrohit.in/)
14:41:05	148145/148145	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:38%20GMT	https://twitter-trends.iamrohit.in/australia/brisbane	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/brisbane.html	(from https://twitter-trends.iamrohit.in/)
14:41:06	147674/147674	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:39%20GMT	https://twitter-trends.iamrohit.in/australia/canberra	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/canberra.html	(from https://twitter-trends.iamrohit.in/)
14:41:06	148104/148104	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:40%20GMT	https://twitter-trends.iamrohit.in/australia/darwin	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/darwin.html	(from https://twitter-trends.iamrohit.in/)
14:41:07	148224/148224	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:40%20GMT	https://twitter-trends.iamrohit.in/australia/melbourne	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/melbourne.html	(from https://twitter-trends.iamrohit.in/)
14:41:07	148137/148137	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:41%20GMT	https://twitter-trends.iamrohit.in/australia/sydney	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/australia/sydney.html	(from https://twitter-trends.iamrohit.in/)
